Unnamed: 0.1,Unnamed: 0,Date,Country,Status,AQI Value
0,2,2022-07-21,Andorra,Moderate,55
1,4,2022-07-21,Argentina,Moderate,63
2,5,2022-07-21,Armenia,Moderate,76
3,6,2022-07-21,Australia,Moderate,56
4,7,2022-07-21,Austria,Good,45
5,8,2022-07-21,Azerbaijan,Good,12
6,10,2022-07-21,Bangladesh,Unhealthy for Sensitive Groups,141
7,11,2022-07-21,Belarus,Good,13
8,12,2022-07-21,Belgium,Moderate,61
9,16,2022-07-21,Bosnia and Herzegovina,Moderate,58
10,17,2022-07-21,Brazil,Moderate,67
11,18,2022-07-21,Brunei,Good,15
12,19,2022-07-21,Bulgaria,Good,28
13,22,2022-07-21,Canada,Moderate,62
14,23,2022-07-21,Cape Verde,Good,43
15,27,2022-07-21,Chile,Unhealthy,178
16,28,2022-07-21,China,Unhealthy,160
17,29,2022-07-21,Colombia,Moderate,63
18,31,2022-07-21,Croatia,Good,33
19,32,2022-07-21,Cyprus,Good,50
20,33,2022-07-21,Czech Republic,Moderate,77
21,34,2022-07-21,Denmark,Good,36
22,35,2022-07-21,Dominican Republic,Good,26
23,36,2022-07-21,Ecuador,Moderate,54
24,39,2022-07-21,Estonia,Good,15
25,40,2022-07-21,Ethiopia,Unhealthy,165
26,41,2022-07-21,Finland,Good,25
27,42,2022-07-21,France,Moderate,72
28,43,2022-07-21,French Guiana,Good,13
29,46,2022-07-21,Georgia,Good,41
30,47,2022-07-21,Germany,Moderate,77
31,48,2022-07-21,Ghana,Unhealthy for Sensitive Groups,117
32,50,2022-07-21,Greece,Good,38
33,52,2022-07-21,Guadeloupe,Good,7
34,54,2022-07-21,Guatemala,Good,47
35,56,2022-07-21,Hong Kong,Good,30
36,58,2022-07-21,Iceland,Good,8
37,59,2022-07-21,India,Unhealthy,162
38,60,2022-07-21,Indonesia,Moderate,93
39,63,2022-07-21,Ireland,Good,14
40,64,2022-07-21,Israel,Unhealthy for Sensitive Groups,102
41,65,2022-07-21,Italy,Unhealthy for Sensitive Groups,111
42,67,2022-07-21,Japan,Unhealthy for Sensitive Groups,110
43,69,2022-07-21,Jordan,Good,27
44,70,2022-07-21,Kazakhstan,Moderate,62
45,71,2022-07-21,Kenya,Good,40
46,73,2022-07-21,Kuwait,Unhealthy for Sensitive Groups,132
47,74,2022-07-21,Kyrgyzstan,Good,42
48,75,2022-07-21,Laos,Good,20
49,76,2022-07-21,Latvia,Good,23
50,79,2022-07-21,Liechtenstein,Good,20
51,80,2022-07-21,Lithuania,Good,32
52,82,2022-07-21,Macao,Good,30
53,83,2022-07-21,Macedonia,Good,46
54,84,2022-07-21,Madagascar,Good,42
55,85,2022-07-21,Malaysia,Moderate,70
56,86,2022-07-21,Malta,Moderate,57
57,87,2022-07-21,Martinique,Good,25
58,88,2022-07-21,Mexico,Moderate,92
59,89,2022-07-21,Moldova,Good,16
60,90,2022-07-21,Monaco,Good,46
61,91,2022-07-21,Mongolia,Moderate,55
62,92,2022-07-21,Montenegro,Good,42
63,93,2022-07-21,Myanmar,Good,46
64,94,2022-07-21,Nepal,Moderate,81
65,95,2022-07-21,Netherlands,Moderate,70
66,97,2022-07-21,New Zealand,Good,18
67,98,2022-07-21,Nigeria,Unhealthy for Sensitive Groups,105
68,99,2022-07-21,Norway,Moderate,73
69,100,2022-07-21,Pakistan,Moderate,91
70,101,2022-07-21,Palestinian Territory,Moderate,64
71,102,2022-07-21,Peru,Moderate,85
72,103,2022-07-21,Philippines,Moderate,83
73,104,2022-07-21,Poland,Moderate,74
74,105,2022-07-21,Portugal,Good,26
75,108,2022-07-21,Reunion,Good,14
76,109,2022-07-21,Romania,Moderate,67
77,110,2022-07-21,Russia,Moderate,80
78,111,2022-07-21,San Marino,Good,50
79,114,2022-07-21,Serbia,Moderate,60
80,115,2022-07-21,Singapore,Good,29
81,116,2022-07-21,Slovakia,Moderate,63
82,117,2022-07-21,Slovenia,Good,49
83,118,2022-07-21,South Africa,Moderate,83
84,119,2022-07-21,South Korea,Moderate,80
85,120,2022-07-21,Spain,Moderate,82
86,121,2022-07-21,Sri Lanka,Good,42
87,123,2022-07-21,Sweden,Good,38
88,124,2022-07-21,Switzerland,Good,31
89,125,2022-07-21,Taiwan,Moderate,59
90,126,2022-07-21,Tajikistan,Moderate,81
91,127,2022-07-21,Thailand,Moderate,95
92,129,2022-07-21,Trinidad and Tobago,Good,20
93,130,2022-07-21,Turkey,Moderate,86
94,132,2022-07-21,Uganda,Unhealthy,198
95,133,2022-07-21,Ukraine,Good,37
96,134,2022-07-21,United Arab Emirates,Moderate,92
97,135,2022-07-21,United Kingdom of Great Britain and Northern Ireland,Moderate,55
98,136,2022-07-21,United States of America,Unhealthy for Sensitive Groups,116
99,138,2022-07-21,Vatican,Moderate,70
100,140,2022-07-21,Vietnam,Good,43
707,991,2022-07-24,Andorra,Good,41
708,993,2022-07-24,Argentina,Good,42
709,994,2022-07-24,Armenia,Good,43
710,995,2022-07-24,Australia,Moderate,60
711,996,2022-07-24,Austria,Good,43
712,997,2022-07-24,Azerbaijan,Good,11
713,999,2022-07-24,Bangladesh,Unhealthy for Sensitive Groups,141
714,1000,2022-07-24,Belarus,Good,28
715,1001,2022-07-24,Belgium,Good,49
716,1005,2022-07-24,Bosnia and Herzegovina,Moderate,76
717,1006,2022-07-24,Brazil,Moderate,95
718,1007,2022-07-24,Brunei,Good,10
719,1008,2022-07-24,Bulgaria,Good,35
720,1011,2022-07-24,Canada,Moderate,71
721,1012,2022-07-24,Cape Verde,Good,24
722,1016,2022-07-24,Chile,Unhealthy for Sensitive Groups,142
723,1017,2022-07-24,China,Unhealthy,155
724,1018,2022-07-24,Colombia,Moderate,68
725,1020,2022-07-24,Croatia,Good,42
726,1021,2022-07-24,Cyprus,Good,31
727,1022,2022-07-24,Czech Republic,Moderate,71
728,1023,2022-07-24,Denmark,Good,17
729,1024,2022-07-24,Dominican Republic,Good,22
730,1025,2022-07-24,Ecuador,Good,32
731,1028,2022-07-24,Estonia,Good,15
732,1029,2022-07-24,Ethiopia,Moderate,90
733,1030,2022-07-24,Finland,Good,19
734,1031,2022-07-24,France,Moderate,58
735,1032,2022-07-24,French Guiana,Good,16
736,1035,2022-07-24,Georgia,Moderate,80
737,1036,2022-07-24,Germany,Moderate,69
738,1037,2022-07-24,Ghana,Moderate,85
739,1039,2022-07-24,Greece,Moderate,64
740,1041,2022-07-24,Guadeloupe,Good,10
741,1043,2022-07-24,Guatemala,Good,29
742,1045,2022-07-24,Hong Kong,Moderate,60
743,1047,2022-07-24,Iceland,Good,7
744,1048,2022-07-24,India,Unhealthy for Sensitive Groups,147
745,1049,2022-07-24,Indonesia,Moderate,93
746,1052,2022-07-24,Ireland,Good,26
747,1053,2022-07-24,Israel,Moderate,83
748,1054,2022-07-24,Italy,Moderate,97
749,1056,2022-07-24,Japan,Moderate,97
750,1058,2022-07-24,Jordan,Good,26
751,1059,2022-07-24,Kazakhstan,Moderate,68
752,1060,2022-07-24,Kenya,Good,38
753,1062,2022-07-24,Kuwait,Unhealthy for Sensitive Groups,110
754,1063,2022-07-24,Kyrgyzstan,Good,47
755,1064,2022-07-24,Laos,Moderate,53
756,1065,2022-07-24,Latvia,Good,12
757,1068,2022-07-24,Liechtenstein,Good,27
758,1069,2022-07-24,Lithuania,Good,23
759,1071,2022-07-24,Macao,Moderate,57
760,1072,2022-07-24,Macedonia,Moderate,77
761,1073,2022-07-24,Madagascar,Moderate,70
762,1074,2022-07-24,Malaysia,Moderate,59
763,1075,2022-07-24,Malta,Moderate,52
764,1076,2022-07-24,Martinique,Good,46
765,1077,2022-07-24,Mexico,Moderate,82
766,1078,2022-07-24,Moldova,Good,15
767,1079,2022-07-24,Monaco,Good,44
768,1080,2022-07-24,Mongolia,Moderate,51
769,1081,2022-07-24,Montenegro,Moderate,54
770,1082,2022-07-24,Myanmar,Good,45
771,1083,2022-07-24,Nepal,Good,35
772,1084,2022-07-24,Netherlands,Good,48
773,1086,2022-07-24,New Zealand,Good,31
774,1087,2022-07-24,Nigeria,Unhealthy for Sensitive Groups,105
775,1088,2022-07-24,Norway,Good,35
776,1089,2022-07-24,Pakistan,Moderate,91
777,1090,2022-07-24,Palestinian Territory,Moderate,66
778,1091,2022-07-24,Peru,Moderate,85
779,1092,2022-07-24,Philippines,Moderate,83
780,1093,2022-07-24,Poland,Good,47
781,1094,2022-07-24,Portugal,Good,23
782,1097,2022-07-24,Reunion,Good,16
783,1098,2022-07-24,Romania,Moderate,67
784,1099,2022-07-24,Russia,Moderate,85
785,1100,2022-07-24,San Marino,Moderate,76
786,1102,2022-07-24,Serbia,Moderate,60
787,1103,2022-07-24,Singapore,Good,32
788,1104,2022-07-24,Slovakia,Moderate,56
789,1105,2022-07-24,Slovenia,Moderate,53
790,1106,2022-07-24,South Africa,Moderate,83
791,1107,2022-07-24,South Korea,Moderate,74
792,1108,2022-07-24,Spain,Unhealthy for Sensitive Groups,123
793,1109,2022-07-24,Sri Lanka,Good,48
794,1111,2022-07-24,Sweden,Good,22
795,1112,2022-07-24,Switzerland,Good,43
796,1113,2022-07-24,Taiwan,Moderate,60
797,1114,2022-07-24,Tajikistan,Moderate,64
798,1115,2022-07-24,Thailand,Moderate,91
799,1117,2022-07-24,Trinidad and Tobago,Moderate,78
800,1118,2022-07-24,Turkey,Moderate,66
801,1120,2022-07-24,Uganda,Unhealthy,169
802,1121,2022-07-24,Ukraine,Moderate,63
803,1122,2022-07-24,United Arab Emirates,Unhealthy,174
804,1123,2022-07-24,United Kingdom of Great Britain and Northern Ireland,Good,39
805,1124,2022-07-24,United States of America,Moderate,85
806,1126,2022-07-24,Vatican,Moderate,57
807,1128,2022-07-24,Vietnam,Moderate,92
808,1132,2022-07-25,Andorra,Good,16
809,1134,2022-07-25,Argentina,Moderate,74
810,1135,2022-07-25,Armenia,Moderate,78
811,1136,2022-07-25,Australia,Good,43
812,1137,2022-07-25,Austria,Good,47
813,1138,2022-07-25,Azerbaijan,Good,34
814,1140,2022-07-25,Bangladesh,Unhealthy for Sensitive Groups,141
815,1141,2022-07-25,Belarus,Good,29
816,1142,2022-07-25,Belgium,Good,24
817,1146,2022-07-25,Bosnia and Herzegovina,Moderate,62
818,1147,2022-07-25,Brazil,Unhealthy for Sensitive Groups,108
819,1148,2022-07-25,Brunei,Good,11
820,1149,2022-07-25,Bulgaria,Good,33
821,1152,2022-07-25,Canada,Good,48
822,1153,2022-07-25,Cape Verde,Good,43
823,1157,2022-07-25,Chile,Unhealthy for Sensitive Groups,113
824,1158,2022-07-25,China,Unhealthy,157
825,1159,2022-07-25,Colombia,Moderate,66
826,1161,2022-07-25,Croatia,Good,42
827,1162,2022-07-25,Cyprus,Good,40
828,1163,2022-07-25,Czech Republic,Moderate,84
829,1164,2022-07-25,Denmark,Good,14
830,1165,2022-07-25,Dominican Republic,Good,21
831,1166,2022-07-25,Ecuador,Good,39
832,1169,2022-07-25,Estonia,Good,15
833,1170,2022-07-25,Ethiopia,Unhealthy,161
834,1171,2022-07-25,Finland,Good,28
835,1172,2022-07-25,France,Moderate,64
836,1173,2022-07-25,French Guiana,Good,15
837,1176,2022-07-25,Georgia,Good,34
838,1177,2022-07-25,Germany,Moderate,62
839,1178,2022-07-25,Ghana,Moderate,84
840,1180,2022-07-25,Greece,Moderate,57
841,1182,2022-07-25,Guadeloupe,Good,38
842,1184,2022-07-25,Guatemala,Good,35
843,1186,2022-07-25,Hong Kong,Moderate,58
844,1188,2022-07-25,Iceland,Good,8
845,1189,2022-07-25,India,Unhealthy for Sensitive Groups,146
846,1190,2022-07-25,Indonesia,Moderate,93
847,1193,2022-07-25,Ireland,Good,20
848,1194,2022-07-25,Israel,Moderate,82
849,1195,2022-07-25,Italy,Unhealthy for Sensitive Groups,113
850,1197,2022-07-25,Japan,Moderate,89
851,1199,2022-07-25,Jordan,Good,24
852,1200,2022-07-25,Kazakhstan,Moderate,85
853,1201,2022-07-25,Kenya,Good,49
854,1203,2022-07-25,Kuwait,Unhealthy for Sensitive Groups,120
855,1204,2022-07-25,Kyrgyzstan,Good,42
856,1205,2022-07-25,Laos,Moderate,66
857,1206,2022-07-25,Latvia,Good,17
858,1209,2022-07-25,Liechtenstein,Good,17
859,1210,2022-07-25,Lithuania,Good,28
860,1212,2022-07-25,Macao,Good,50
861,1213,2022-07-25,Macedonia,Moderate,62
862,1214,2022-07-25,Madagascar,Good,35
863,1215,2022-07-25,Malaysia,Moderate,57
864,1216,2022-07-25,Malta,Good,38
865,1217,2022-07-25,Martinique,Moderate,78
866,1218,2022-07-25,Mexico,Moderate,81
867,1219,2022-07-25,Moldova,Good,9
868,1220,2022-07-25,Monaco,Good,37
869,1221,2022-07-25,Mongolia,Moderate,63
870,1222,2022-07-25,Montenegro,Moderate,56
871,1223,2022-07-25,Myanmar,Good,27
872,1224,2022-07-25,Nepal,Good,31
873,1225,2022-07-25,Netherlands,Good,38
874,1227,2022-07-25,New Zealand,Good,36
875,1228,2022-07-25,Nigeria,Unhealthy for Sensitive Groups,105
876,1229,2022-07-25,Norway,Good,35
877,1230,2022-07-25,Pakistan,Moderate,91
878,1231,2022-07-25,Palestinian Territory,Moderate,57
