,Date,Country,Status,AQI Value
2,2022-07-21,Andorra,Moderate,55
4,2022-07-21,Argentina,Moderate,63
5,2022-07-21,Armenia,Moderate,76
6,2022-07-21,Australia,Moderate,56
7,2022-07-21,Austria,Good,45
8,2022-07-21,Azerbaijan,Good,12
10,2022-07-21,Bangladesh,Unhealthy for Sensitive Groups,141
11,2022-07-21,Belarus,Good,13
12,2022-07-21,Belgium,Moderate,61
16,2022-07-21,Bosnia and Herzegovina,Moderate,58
17,2022-07-21,Brazil,Moderate,67
18,2022-07-21,Brunei,Good,15
19,2022-07-21,Bulgaria,Good,28
22,2022-07-21,Canada,Moderate,62
23,2022-07-21,Cape Verde,Good,43
27,2022-07-21,Chile,Unhealthy,178
28,2022-07-21,China,Unhealthy,160
29,2022-07-21,Colombia,Moderate,63
31,2022-07-21,Croatia,Good,33
32,2022-07-21,Cyprus,Good,50
33,2022-07-21,Czech Republic,Moderate,77
34,2022-07-21,Denmark,Good,36
35,2022-07-21,Dominican Republic,Good,26
36,2022-07-21,Ecuador,Moderate,54
39,2022-07-21,Estonia,Good,15
40,2022-07-21,Ethiopia,Unhealthy,165
41,2022-07-21,Finland,Good,25
42,2022-07-21,France,Moderate,72
43,2022-07-21,French Guiana,Good,13
46,2022-07-21,Georgia,Good,41
47,2022-07-21,Germany,Moderate,77
48,2022-07-21,Ghana,Unhealthy for Sensitive Groups,117
50,2022-07-21,Greece,Good,38
52,2022-07-21,Guadeloupe,Good,7
54,2022-07-21,Guatemala,Good,47
56,2022-07-21,Hong Kong,Good,30
58,2022-07-21,Iceland,Good,8
59,2022-07-21,India,Unhealthy,162
60,2022-07-21,Indonesia,Moderate,93
63,2022-07-21,Ireland,Good,14
64,2022-07-21,Israel,Unhealthy for Sensitive Groups,102
65,2022-07-21,Italy,Unhealthy for Sensitive Groups,111
67,2022-07-21,Japan,Unhealthy for Sensitive Groups,110
69,2022-07-21,Jordan,Good,27
70,2022-07-21,Kazakhstan,Moderate,62
71,2022-07-21,Kenya,Good,40
73,2022-07-21,Kuwait,Unhealthy for Sensitive Groups,132
74,2022-07-21,Kyrgyzstan,Good,42
75,2022-07-21,Laos,Good,20
76,2022-07-21,Latvia,Good,23
79,2022-07-21,Liechtenstein,Good,20
80,2022-07-21,Lithuania,Good,32
82,2022-07-21,Macao,Good,30
83,2022-07-21,Macedonia,Good,46
84,2022-07-21,Madagascar,Good,42
85,2022-07-21,Malaysia,Moderate,70
86,2022-07-21,Malta,Moderate,57
87,2022-07-21,Martinique,Good,25
88,2022-07-21,Mexico,Moderate,92
89,2022-07-21,Moldova,Good,16
90,2022-07-21,Monaco,Good,46
91,2022-07-21,Mongolia,Moderate,55
92,2022-07-21,Montenegro,Good,42
93,2022-07-21,Myanmar,Good,46
94,2022-07-21,Nepal,Moderate,81
95,2022-07-21,Netherlands,Moderate,70
97,2022-07-21,New Zealand,Good,18
98,2022-07-21,Nigeria,Unhealthy for Sensitive Groups,105
99,2022-07-21,Norway,Moderate,73
100,2022-07-21,Pakistan,Moderate,91
101,2022-07-21,Palestinian Territory,Moderate,64
102,2022-07-21,Peru,Moderate,85
103,2022-07-21,Philippines,Moderate,83
104,2022-07-21,Poland,Moderate,74
105,2022-07-21,Portugal,Good,26
108,2022-07-21,Reunion,Good,14
109,2022-07-21,Romania,Moderate,67
110,2022-07-21,Russia,Moderate,80
111,2022-07-21,San Marino,Good,50
114,2022-07-21,Serbia,Moderate,60
115,2022-07-21,Singapore,Good,29
116,2022-07-21,Slovakia,Moderate,63
117,2022-07-21,Slovenia,Good,49
118,2022-07-21,South Africa,Moderate,83
119,2022-07-21,South Korea,Moderate,80
120,2022-07-21,Spain,Moderate,82
121,2022-07-21,Sri Lanka,Good,42
123,2022-07-21,Sweden,Good,38
124,2022-07-21,Switzerland,Good,31
125,2022-07-21,Taiwan,Moderate,59
126,2022-07-21,Tajikistan,Moderate,81
127,2022-07-21,Thailand,Moderate,95
129,2022-07-21,Trinidad and Tobago,Good,20
130,2022-07-21,Turkey,Moderate,86
132,2022-07-21,Uganda,Unhealthy,198
133,2022-07-21,Ukraine,Good,37
134,2022-07-21,United Arab Emirates,Moderate,92
135,2022-07-21,United Kingdom of Great Britain and Northern Ireland,Moderate,55
136,2022-07-21,United States of America,Unhealthy for Sensitive Groups,116
138,2022-07-21,Vatican,Moderate,70
140,2022-07-21,Vietnam,Good,43
144,2022-07-21,Andorra,Moderate,51
146,2022-07-21,Argentina,Moderate,61
147,2022-07-21,Armenia,Moderate,78
148,2022-07-21,Australia,Moderate,54
149,2022-07-21,Austria,Good,48
150,2022-07-21,Azerbaijan,Good,18
152,2022-07-21,Bangladesh,Unhealthy for Sensitive Groups,141
153,2022-07-21,Belarus,Good,12
154,2022-07-21,Belgium,Moderate,67
158,2022-07-21,Bosnia and Herzegovina,Moderate,65
159,2022-07-21,Brazil,Moderate,66
160,2022-07-21,Brunei,Good,15
161,2022-07-21,Bulgaria,Good,29
164,2022-07-21,Canada,Moderate,64
165,2022-07-21,Cape Verde,Good,44
169,2022-07-21,Chile,Very Unhealthy,212
170,2022-07-21,China,Unhealthy,151
171,2022-07-21,Colombia,Moderate,60
173,2022-07-21,Croatia,Good,34
174,2022-07-21,Cyprus,Moderate,53
175,2022-07-21,Czech Republic,Moderate,83
176,2022-07-21,Denmark,Good,36
177,2022-07-21,Dominican Republic,Good,25
178,2022-07-21,Ecuador,Moderate,58
181,2022-07-21,Estonia,Good,16
182,2022-07-21,Ethiopia,Unhealthy,161
183,2022-07-21,Finland,Good,25
184,2022-07-21,France,Moderate,73
185,2022-07-21,French Guiana,Good,13
188,2022-07-21,Georgia,Good,41
189,2022-07-21,Germany,Moderate,79
190,2022-07-21,Ghana,Unhealthy for Sensitive Groups,113
192,2022-07-21,Greece,Good,32
194,2022-07-21,Guadeloupe,Good,7
196,2022-07-21,Guatemala,Moderate,53
198,2022-07-21,Hong Kong,Good,32
200,2022-07-21,Iceland,Good,9
201,2022-07-21,India,Unhealthy,162
202,2022-07-21,Indonesia,Moderate,93
205,2022-07-21,Ireland,Good,15
206,2022-07-21,Israel,Unhealthy for Sensitive Groups,112
207,2022-07-21,Italy,Unhealthy for Sensitive Groups,119
209,2022-07-21,Japan,Moderate,89
211,2022-07-21,Jordan,Good,28
212,2022-07-21,Kazakhstan,Moderate,60
213,2022-07-21,Kenya,Good,42
215,2022-07-21,Kuwait,Unhealthy,158
216,2022-07-21,Kyrgyzstan,Good,44
217,2022-07-21,Laos,Good,30
218,2022-07-21,Latvia,Good,24
221,2022-07-21,Liechtenstein,Good,19
222,2022-07-21,Lithuania,Good,29
224,2022-07-21,Macao,Good,38
225,2022-07-21,Macedonia,Good,49
226,2022-07-21,Madagascar,Good,36
227,2022-07-21,Malaysia,Moderate,70
228,2022-07-21,Malta,Moderate,59
229,2022-07-21,Martinique,Good,25
230,2022-07-21,Mexico,Unhealthy for Sensitive Groups,109
231,2022-07-21,Moldova,Good,18
232,2022-07-21,Monaco,Good,44
233,2022-07-21,Mongolia,Good,40
234,2022-07-21,Montenegro,Good,44
235,2022-07-21,Myanmar,Good,36
236,2022-07-21,Nepal,Moderate,79
237,2022-07-21,Netherlands,Moderate,72
239,2022-07-21,New Zealand,Good,30
240,2022-07-21,Nigeria,Unhealthy for Sensitive Groups,105
241,2022-07-21,Norway,Moderate,67
242,2022-07-21,Pakistan,Moderate,91
243,2022-07-21,Palestinian Territory,Moderate,69
244,2022-07-21,Peru,Moderate,85
245,2022-07-21,Philippines,Moderate,83
246,2022-07-21,Poland,Moderate,69
247,2022-07-21,Portugal,Good,22
250,2022-07-21,Reunion,Good,24
251,2022-07-21,Romania,Moderate,62
252,2022-07-21,Russia,Moderate,69
253,2022-07-21,San Marino,Good,50
256,2022-07-21,Serbia,Moderate,60
257,2022-07-21,Singapore,Good,21
258,2022-07-21,Slovakia,Moderate,62
259,2022-07-21,Slovenia,Good,50
260,2022-07-21,South Africa,Moderate,83
261,2022-07-21,South Korea,Moderate,75
262,2022-07-21,Spain,Moderate,82
263,2022-07-21,Sri Lanka,Good,45
265,2022-07-21,Sweden,Good,41
266,2022-07-21,Switzerland,Good,32
267,2022-07-21,Taiwan,Moderate,63
268,2022-07-21,Tajikistan,Moderate,65
269,2022-07-21,Thailand,Moderate,81
271,2022-07-21,Trinidad and Tobago,Good,18
272,2022-07-21,Turkey,Moderate,91
274,2022-07-21,Uganda,Unhealthy,189
275,2022-07-21,Ukraine,Good,26
276,2022-07-21,United Arab Emirates,Moderate,90
277,2022-07-21,United Kingdom of Great Britain and Northern Ireland,Moderate,55
278,2022-07-21,United States of America,Unhealthy for Sensitive Groups,107
280,2022-07-21,Vatican,Moderate,70
282,2022-07-21,Vietnam,Good,41
286,2022-07-22,Andorra,Moderate,52
288,2022-07-22,Argentina,Moderate,53
289,2022-07-22,Armenia,Moderate,54
290,2022-07-22,Australia,Moderate,66
291,2022-07-22,Austria,Good,45
292,2022-07-22,Azerbaijan,Good,16
294,2022-07-22,Bangladesh,Unhealthy for Sensitive Groups,141
295,2022-07-22,Belarus,Good,35
296,2022-07-22,Belgium,Good,43
300,2022-07-22,Bosnia and Herzegovina,Moderate,66
301,2022-07-22,Brazil,Moderate,90
302,2022-07-22,Brunei,Good,17
303,2022-07-22,Bulgaria,Good,31
306,2022-07-22,Canada,Moderate,71
307,2022-07-22,Cape Verde,Moderate,55
311,2022-07-22,Chile,Unhealthy for Sensitive Groups,137
312,2022-07-22,China,Unhealthy,165
313,2022-07-22,Colombia,Moderate,66
315,2022-07-22,Croatia,Moderate,58
316,2022-07-22,Cyprus,Good,50
317,2022-07-22,Czech Republic,Moderate,90
318,2022-07-22,Denmark,Good,24
319,2022-07-22,Dominican Republic,Good,11
320,2022-07-22,Ecuador,Good,48
323,2022-07-22,Estonia,Good,22
